seq,block,position,workload,mode,variant,prog_id,elapsed_s,bpf_delta_run_cnt,mpps,bpf_delta_run_time_ns,ns_per_pkt,pmc_pre_runs,pmc_post_runs,pmc_delta_runs,pmc_pre_value,pmc_post_value,pmc_delta_value,pmc_cycles_per_run,pmc_run_ratio,window_cpu_count,window_cpus,cpu_valid,pmc_valid,cumulative_final_cycles_per_pkt
1,1,1,drop,full,native,19974,20.003256,103130324,5.155677,14156875531,137.271706,59189887,166858705,107668818,3695594076,10450687871,6755093795,62.739556,1.044007,1,6,1,1,62.63
2,1,2,drop,full,kfunc,20018,20.003349,98439123,4.921132,14781953269,150.163399,52347436,155105155,102757719,3746186842,10958334846,7212148004,70.185949,1.043871,1,6,1,1,70.65
3,1,3,drop,full,kfunc,20062,20.003625,103197228,5.158926,14573776018,141.222553,51252756,159014658,107761902,3334210845,10344598277,7010387432,65.054414,1.044233,1,6,1,1,65.05
4,1,4,drop,full,native,20106,20.003386,102583789,5.128321,14057295043,137.032324,58866278,165974133,107107855,3676472200,10358553825,6682081625,62.386476,1.044101,1,6,1,1,62.41
5,2,1,drop,full,kfunc,20150,20.003577,97477279,4.872992,14771217360,151.534978,54893317,156661410,101768093,4190472890,12013694545,7823221655,76.873030,1.044019,1,6,1,1,76.68
6,2,2,drop,full,native,20194,20.003345,102672073,5.132745,14162861116,137.942682,58922754,166108358,107185604,3987019620,11310841077,7323821457,68.328406,1.043961,1,6,1,1,68.10
7,2,3,drop,full,native,20238,20.003495,109452191,5.471653,13974558934,127.677288,61355192,175625216,114270024,3745846218,10723319819,6977473601,61.061277,1.044018,1,6,1,1,61.06
8,2,4,drop,full,kfunc,20282,20.003506,97861221,4.892203,14821137283,151.450566,54484798,156653312,102168514,3938734081,11318358729,7379624648,72.229930,1.044014,1,6,1,1,72.24
9,3,1,drop,full,native,20326,20.003385,102686704,5.133466,14115021683,137.457150,58958086,166175302,107217216,3697934506,10372661993,6674727487,62.254251,1.044120,1,6,1,1,62.42
10,3,2,drop,full,kfunc,20370,20.003390,98010314,4.899685,14800166287,151.006212,56273652,158603609,102329957,4296381647,12147276366,7850894719,76.721372,1.044073,1,6,1,1,76.58
11,3,3,drop,full,kfunc,20414,20.003417,97635832,4.880958,14805626864,151.641324,56065601,158022232,101956631,4265633624,11773956855,7508323231,73.642324,1.044254,1,6,1,1,74.49
12,3,4,drop,full,native,20458,20.003471,102644794,5.131349,14170787935,138.056568,58857547,166024663,107167116,3746753307,10547981185,6801227878,63.463758,1.044058,1,6,1,1,63.53
13,4,1,drop,full,kfunc,20502,20.003413,97955095,4.896919,14788207633,150.969254,53823814,156095468,102271654,3888658443,10984591570,7095933127,69.383185,1.044067,1,6,1,1,70.37
14,4,2,drop,full,native,20546,20.003496,102692529,5.133729,14135720667,137.650916,58990632,166227606,107236974,3693181540,10391322846,6698141306,62.461118,1.044253,1,6,1,1,62.52
15,4,3,drop,full,native,20590,20.003576,109199305,5.458989,14030879711,128.488727,57356262,171382008,114025746,3464187215,10343556616,6879369401,60.331720,1.044198,1,6,1,1,60.35
16,4,4,drop,full,kfunc,20634,20.003414,98178693,4.908097,14777373240,150.515074,54889532,157404975,102515443,4211923146,12004781107,7792857961,76.016430,1.044172,1,6,1,1,76.25
17,5,1,drop,full,native,20678,20.003335,102706080,5.134448,14185811561,138.120465,58936654,166167029,107230375,3788782971,10658432453,6869649482,64.064399,1.044051,1,6,1,1,64.14
18,5,2,drop,full,kfunc,20722,20.003513,103268861,5.162536,14584282794,141.226335,55532741,163346447,107813706,3612698312,10625683286,7012984974,65.047249,1.044010,1,6,1,1,65.05
19,5,3,drop,full,kfunc,20766,20.003358,99002982,4.949318,13930500436,140.707887,52870032,156247428,103377396,3438990295,10164700113,6725709818,65.059772,1.044185,1,6,1,1,65.06
20,5,4,drop,full,native,20810,20.003346,109330622,5.465617,13978802203,127.858069,61932217,176162699,114230482,3780973878,10754955343,6973981465,61.051843,1.044817,1,6,1,1,61.05
